gene,Gravi_1,Gravi_2,Photo_1,Photo_2,Thigmo_1,Hydro_1,MixedGP_1,Control_1
AT5G57090,640,600,10,10,10,10,630,90
AT1G70940,580,545,10,10,10,10,570,90
AT1G23080,520,485,10,10,10,10,505,90
AT2G38120,700,660,10,10,10,10,690,90
AT5G14090,610,575,10,10,10,10,600,90
AT3G45780,10,10,660,620,10,10,650,90
AT5G58140,10,10,590,550,10,10,580,90
AT5G64330,10,10,540,500,10,10,530,90
AT2G30520,10,10,500,465,10,10,490,90
AT2G02950,10,10,620,585,10,10,610,90
AT5G37780,10,10,10,10,630,10,10,90
AT5G37770,10,10,10,10,560,10,10,90
AT2G41100,10,10,10,10,690,10,10,90
AT5G57560,10,10,10,10,520,10,10,90
AT5G12080,10,10,10,10,600,10,10,90
AT2G41660,10,10,10,10,10,650,10,90
AT1G13980,10,10,10,10,10,560,10,90
AT0G00001,30,30,30,30,30,30,30,30
AT0G00002,35,35,35,35,35,35,35,35
AT0G00003,40,40,40,40,40,40,40,40
AT0G00004,45,45,45,45,45,45,45,45
AT0G00005,50,50,50,50,50,50,50,50
AT0G00006,55,55,55,55,55,55,55,55
AT0G00007,60,60,60,60,60,60,60,60
AT0G00008,65,65,65,65,65,65,65,65
AT0G00009,70,70,70,70,70,70,70,70
AT0G00010,75,75,75,75,75,75,75,75
AT0G00011,80,80,80,80,80,80,80,80
AT0G00012,85,85,85,85,85,85,85,85
AT0G00013,95,95,95,95,95,95,95,95
AT0G00014,100,100,100,100,100,100,100,100
AT0G00015,105,105,105,105,105,105,105,105
AT0G00016,110,110,110,110,110,110,110,110
AT0G00017,115,115,115,115,115,115,115,115
AT0G00018,120,120,120,120,120,120,120,120
AT0G00019,125,125,125,125,125,125,125,125
AT0G00020,130,130,130,130,130,130,130,130
AT0G00021,135,135,135,135,135,135,135,135
AT0G00022,140,140,140,140,140,140,140,140
AT0G00023,145,145,145,145,145,145,145,145
AT0G00024,150,150,150,150,150,150,150,150
AT0G00025,155,155,155,155,155,155,155,155
AT0G00026,160,160,160,160,160,160,160,160
AT0G00027,165,165,165,165,165,165,165,165
AT0G00028,170,170,170,170,170,170,170,170
AT0G00029,175,175,175,175,175,175,175,175
AT0G00030,180,180,180,180,180,180,180,180
AT0G00031,185,185,185,185,185,185,185,185
AT0G00032,190,190,190,190,190,190,190,190
AT0G00033,195,195,195,195,195,195,195,195
AT0G00034,200,200,200,200,200,200,200,200
AT0G00035,205,205,205,205,205,205,205,205
AT0G00036,210,210,210,210,210,210,210,210
AT0G00037,215,215,215,215,215,215,215,215
AT0G00038,220,220,220,220,220,220,220,220
AT0G00039,225,225,225,225,225,225,225,225
AT0G00040,230,230,230,230,230,230,230,230
